title,link,description,date,source,content,summary
Indian-origin Shanti Pereira wins Singapore's first gold in Asian Games athletics in 49 years - The Tribune India,https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy50cmlidW5laW5kaWEuY29tL25ld3MvZGlhc3BvcmEvaW5kaWFuLW9yaWdpbi1wZXJlaXJhLXdpbnMtc2luZ2Fwb3Jlcy1maXJzdC1nb2xkLWluLWFzaWFuLWdhbWVzLWF0aGxldGljcy1pbi00OS15ZWFycy01NTAwMTHSAYUBaHR0cHM6Ly9tLnRyaWJ1bmVpbmRpYS5jb20vbmV3cy9kaWFzcG9yYS9pbmRpYW4tb3JpZ2luLXBlcmVpcmEtd2lucy1zaW5nYXBvcmVzLWZpcnN0LWdvbGQtaW4tYXNpYW4tZ2FtZXMtYXRobGV0aWNzLWluLTQ5LXllYXJzLTU1MDAxMQ?oc=5," href=""https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy50cmlidW5laW5kaWEuY29tL25ld3MvZGlhc3BvcmEvaW5kaWFuLW9yaWdpbi1wZXJlaXJhLXdpbnMtc2luZ2Fwb3Jlcy1maXJzdC1nb2xkLWluLWFzaWFuLWdhbWVzLWF0aGxldGljcy1pbi00OS15ZWFycy01NTAwMTHSAYUBaHR0cHM6Ly9tLnRyaWJ1bmVpbmRpYS5jb20vbmV3cy9kaWFzcG9yYS9pbmRpYW4tb3JpZ2luLXBlcmVpcmEtd2lucy1zaW5nYXBvcmVzLWZpcnN0LWdvbGQtaW4tYXNpYW4tZ2FtZXMtYXRobGV0aWNzLWluLTQ5LXllYXJzLTU1MDAxMQ?oc=5"" target=""_blank"">Indian-origin Shanti Pereira wins Singapore's first gold in Asian Games athletics in 49 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2023-10-03 08:48:00+00:00,The Tribune India,,No Content
"Zii Jia, Aaron-Wooi Yik clear first round at Asian Games - Free Malaysia Today",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmZyZWVtYWxheXNpYXRvZGF5LmNvbS9jYXRlZ29yeS9zcG9ydHMvMjAyMy8xMC8wMi96aWktamlhLWFhcm9uLXdvb2kteWlrLWNsZWFyLWZpcnN0LXJvdW5kLWF0LWFzaWFuLWdhbWVzL9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmZyZWVtYWxheXNpYXRvZGF5LmNvbS9jYXRlZ29yeS9zcG9ydHMvMjAyMy8xMC8wMi96aWktamlhLWFhcm9uLXdvb2kteWlrLWNsZWFyLWZpcnN0LXJvdW5kLWF0LWFzaWFuLWdhbWVzL9IBAA?oc=5"" target=""_blank"">Zii Jia, Aaron-Wooi Yik clear first round at Asian Games</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Malaysia Today</font",2023-10-02 09:10:07+00:00,Free Malaysia Today,,No Content
South Korean Skater's Premature Celebration During Asian Games Costs Team Military Service Exemption - Outkick,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm91dGtpY2suY29tL3NvdXRoLWtvcmVhbi1za2F0ZXItcHJlbWF0dXJlLWNlbGVicmF0aW9uLWNvc3RzLW1pbGl0YXJ5LXNlcnZpY2UtZXhlbXB0aW9uLWFzaWFuLWdhbWUv0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm91dGtpY2suY29tL3NvdXRoLWtvcmVhbi1za2F0ZXItcHJlbWF0dXJlLWNlbGVicmF0aW9uLWNvc3RzLW1pbGl0YXJ5LXNlcnZpY2UtZXhlbXB0aW9uLWFzaWFuLWdhbWUv0gEA?oc=5"" target=""_blank"">South Korean Skater's Premature Celebration During Asian Games Costs Team Military Service Exemption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outkick</font",2023-10-03 12:57:10+00:00,Outkick,"South Korean Skater’s Premature Celebration During Asian Games Costs Team Military Service Exemption by Mark Harris October 3, 2023, 8:57 am updated October 3, 2023, 11:32 am Videos by OutKick Men in South Korea are required to serve in the army for 18 months by the age of 28, but athletes can have the mandatory duty waived if they go on to win an Olympic medal or gold medal in the Asian Games. South Korean skater Jung Cheol-won had an Asian Games gold medal in his grasp but then decided to celebrate. Jung, a member of the three-man South Korean skating team, took part in the men’s 3,000-meter speed skating relay in the Asian Games on Monday. The 27-year-old was the skater in the final leg of the relay race and put on a great performance until he met the finish line. Jung, thinking he had won the gold medal already, raised his hands and slowed down as he approached the finish line and the premature celebration allowed Taiwan’s Huang Yu-Lin to sneak past him to win the race. Taiwan finished with a time of 4:05.692 to win the gold medal, with South Korea crossing the line in second place with a time of 4:05.702. Jung and the South Korean team lost the gold medal by 0.01 seconds. South Korea’s Jung Cheol-won (C) reacts after the men’s final of the speed skating 3000m relay race during the 2022 Asian Games in Hangzhou. (Photo by WANG ZHAO/AFP via Getty Images) Going from thinking that you have just helped yourself and teammate Choi In-ho avoid having to serve in the army to then realize you just made the biggest mistake of your entire life – and to find out the difference was 0.01 seconds – has to be a feeling not many humans have ever felt. “I made a rather big mistake,” Jung said, per Reuters . “I didn’t come at full speed to the finish line. I let my guard down too early. I am very sorry.” South Korean law allows men who are deemed to excel in sports to defer their military service until the age of 30. With Jung being 27 and the next Asian Games not taking place until 2026, he missed out on his last opportunity to gain military exemption. Thankfully for Choi, he’s still young enough to get another shot at a gold medal to earn exempt status in 2026. asian games south korea Written by Mark Harris Leave a Reply Cancel reply You must be logged in to post a comment. More From: Sports Video Shows 11-Year-Old Shooting Football Teammate In The Back Alejandro Avila Urban Meyer To Interview For Michigan State Job? According To One Report, Yes It’s Happening Trey Wallace Media Smeared Trevor Bauer. And Now Has Little To Say: Bobby Burack Bobby Burack Denver Nuggets Superstar Nikola Jokic Hasn’t Heard of Deion Sanders And Probably Wants To Keep It That Way Alejandro Avila",South Korean Skater’s Premature Celebration During Asian Games Costs Team Military Service Exemption. Men in South Korea are required to serve in the army for 18 months by the age of 28. Athletes can have the mandatory duty waived if they go on to win an Olympic medal or gold medal in the Asian Games.
"The Korean Beach Volleyball Player At The ""Asian Games"" Gaining Attention For Her Beautiful Visuals - Koreaboo",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL3NvdXRoLWtvcmVhbi12b2xsZXliYWxsLXBsYXllci1nYWluaW5nLWF0dGVudGlvbi12aXN1YWxzLWFzaWFuLWdhbWVzLXNoaW4tamktZXVuL9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL3NvdXRoLWtvcmVhbi12b2xsZXliYWxsLXBsYXllci1nYWluaW5nLWF0dGVudGlvbi12aXN1YWxzLWFzaWFuLWdhbWVzLXNoaW4tamktZXVuL9IBAA?oc=5"" target=""_blank"">The Korean Beach Volleyball Player At The ""Asian Games"" Gaining Attention For Her Beautiful Visuals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Koreaboo</font",2023-10-03 13:35:29+00:00,Koreaboo,,No Content
Speed-climber Alipour wins Iran's sixth gold medal in Asian Games in China - Press TV,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vcHJlc3N0di5pci9EZXRhaWwvMjAyMy8xMC8wMy83MTIwMTMvSXJhbi1zcGVlZC1jbGltYmVyLUFsaXBvdXItZ29sZC1tZWRhbC1Bc2lhbi1HYW1lc9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vcHJlc3N0di5pci9EZXRhaWwvMjAyMy8xMC8wMy83MTIwMTMvSXJhbi1zcGVlZC1jbGltYmVyLUFsaXBvdXItZ29sZC1tZWRhbC1Bc2lhbi1HYW1lc9IBAA?oc=5"" target=""_blank"">Speed-climber Alipour wins Iran's sixth gold medal in Asian Games in China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Press TV</font",2023-10-03 14:38:01+00:00,Press TV,,No Content
Weightlifter Erwin celebrates with dad after Asian Games world record - Insidethegames.biz,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3Lmluc2lkZXRoZWdhbWVzLmJpei9hcnRpY2xlcy8xMTQxMzg2L2Vyd2luLWFzaWFuLWdhbWVzLXdvcmxkLXJlY29yZNIBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3Lmluc2lkZXRoZWdhbWVzLmJpei9hcnRpY2xlcy8xMTQxMzg2L2Vyd2luLWFzaWFuLWdhbWVzLXdvcmxkLXJlY29yZNIBAA?oc=5"" target=""_blank"">Weightlifter Erwin celebrates with dad after Asian Games world record</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Insidethegames.biz</font",2023-10-03 17:57:46+00:00,Insidethegames.biz,"Weightlifter Erwin celebrates with dad after another world record at Asian Games Click here for Weightlifting main menu By Geoff Berkeley at the Xiashan Sports Centre Gymnasium in Hangzhou Tuesday, 3 October 2023 Rahmat Erwin was a picture of calm on his way to Asian Games weightlifting gold here in Hangzhou and a second world record within a month. Then the Indonesian burst into life when he came off the platform to celebrate wildly with his father Erwin Abdullah, who is also his coach after his victory in the 73 kilograms category. ""I always empty my mind every time I lift,"" said Erwin, whose past 10 competitions have yielded an Olympic bronze medal, two world titles, Asian Games gold and world records at two different weights. ""The key to winning is to stay calm, not waste any energy."" The celebration was heartfelt. His father won silver at the 2002 Asian Games in Busan, Korea and his mother was also a champion weightlifter. ""I wanted to celebrate at the Asian Games like he did in Korea in 2002 and I want to do it with him again,"" said Abdullah. ""I owe my parents so much. My father starting teaching me (about technique) when I was four."" Abdullah’s final lift of 201 kilograms bettered his own clean and jerk world record at 73kg, four weeks after he broke the 81kg clean and jerk record at the World Championships at Riyadh in Saudi Arabia. ""My preparation was quite hard, as you can imagine,"" he said. Oh Kumthaek earned a bronze medal on what was his international debut ©Getty Images Erwin weighed in light in Saudi Arabia but still had to lose 4kg while training for Hangzhou. ""I’m looking forward to eating again,"" he said. ""I will go to the dining hall and celebrate."" Silver medallist Weeraphon Wichuma from Thailand was more interested in rest than food. He won at 73kg in Saudi Arabia, took two weeks to recover and had only two weeks to prepare. ""That was tough, I’ll take a break now until the Asian Championships in February,"" said the 19-year-old. The bronze medallist had no such worries. Oh Kumthaek from North Korea began weightlifting aged 12, but he did not make his international debut until today, 14 years later. Erwin made a six-from-six 158-201-359, a Games record total, and Wichuma’s 156-195-351 was a career best. Oh made 151-193-344 but was ""regretful that I did not win gold."" China's Wei Yinting bombed out in the clean and jerk after making a Games record snatch of 161kg, while the second North Korean in the field, Pak Jongju, missed three attempts and finished fourth on 339kg. Timeline Keep Olympic News Free Support insidethegames.biz for as little as £10 Contribute For nearly 15 years now, insidethegames.biz has been at the forefront of reporting fearlessly on what happens in the Olympic Movement. As the first website not to be placed behind a paywall, we have made news about the International Olympic Committee, the Olympic and Paralympic Games, the Commonwealth Games and other major events more accessible than ever to everybody. insidethegames.biz has established a global reputation for the excellence of its reporting and breadth of its coverage. For many of our readers from more than 200 countries and territories around the world the website is a vital part of their daily lives. The ping of our free daily email alert, sent every morning at 6.30am UK time 365 days a year, landing in their inbox, is as a familiar part of their day as their first cup of coffee. Even during the worst times of the COVID-19 pandemic, insidethegames.biz maintained its high standard of reporting on all the news from around the globe on a daily basis. We were the first publication in the world to signal the threat that the Olympic Movement faced from the coronavirus and have provided unparalleled coverage of the pandemic since. As the world begins to emerge from the COVID crisis, insidethegames.biz would like to invite you to help us on our journey by funding our independent journalism. Your vital support would mean we can continue to report so comprehensively on the Olympic Movement and the events that shape it. It would mean we can keep our website open for everyone. Last year, nearly 25 million people read insidethegames.biz , making us by far the biggest source of independent news on what is happening in world sport. Every contribution, however big or small, will help maintain and improve our worldwide coverage in the year ahead. Our small and dedicated team were extremely busy last year covering the re-arranged Olympic and Paralympic Games in Tokyo, an unprecedented logistical challenge that stretched our tight resources to the limit. The remainder of 2022 is not going to be any less busy, or less challenging. We had the Winter Olympic and Paralympic Games in Beijing, where we sent a team of four reporters, and coming up are the Commonwealth Games in Birmingham, the Summer World University and Asian Games in China, the World Games in Alabama and multiple World Championships. Plus, of course, there is the FIFA World Cup in Qatar. Unlike many others, insidethegames.biz is available for everyone to read, regardless of what they can afford to pay. We do this because we believe that sport belongs to everybody, and everybody should be able to read information regardless of their financial situation. While others try to benefit financially from information, we are committed to sharing it with as many people as possible. The greater the number of people that can keep up to date with global events, and understand their impact, the more sport will be forced to be transparent. Support insidethegames.biz for as little as £10 - it only takes a minute. If you can, please consider supporting us with a regular amount each month. Thank you. Read more Contribute Back to top Back to Weightlifting Home Related stories October 2023: China weightlifting coach admits behind North Korea after record-breaking Asian Games performance October 2023: China’s Olympic weightlifting champions relieved to see North Koreans fail at Hangzhou 2022 September 2023: North Korea’s weightlifters claim five world records on sensational Asian Games return September 2023: North Korea fields maximum Asian Games team on long-awaited weightlifting return September 2023: Another weightlifting shock as South Korean takes injured Li's world title About the author Geoff Berkeley Chief Senior Reporter Follow @geoffberkeley Geoff Berkeley is the chief senior reporter at insidethegames.biz. After joining Midlands-based newspaper publisher Bullivant Media in 2011, Geoff rose through the ranks to become editor of the Malvern Observer and sports editor of several other weekly titles. He then went on to be appointed as the Worcester Warriors correspondent for the Worcester News where he was nominated for Sports Journalist of the Year at the Midlands Media Awards in 2016 and 2017. He also had a spell at Sportsbeat in 2020. Contact Geoff Read more of Geoff's articles Follow @geoffberkeley on Twitter Tags Rahmat Erwin weightlifting Hangzhou 2022 Asian Games Share this page Please enable JavaScript to view the comments powered by Disqus. comments powered by Disqus See our comment guidelines here",Indonesian Rahmat Erwin wins gold at Asian Games in Hangzhou. Erwin breaks his own clean and jerk world record at 73kg. Weeraphon Wichuma of Thailand wins bronze. Oh Kumthaek of North Korea makes his international debut.
WATCH: Sprinters share gold in men's 110m hurdles after tying at Asian Games - Canadian Running Magazine,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vcnVubmluZ21hZ2F6aW5lLmNhL3NlY3Rpb25zL3J1bnMtcmFjZXMvd2F0Y2gtc3ByaW50ZXJzLXNoYXJlLWdvbGQtaW4tbWVucy0xMTBtLWh1cmRsZXMtYWZ0ZXItdHlpbmctYXQtYXNpYW4tZ2FtZXMv0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMiemh0dHBzOi8vcnVubmluZ21hZ2F6aW5lLmNhL3NlY3Rpb25zL3J1bnMtcmFjZXMvd2F0Y2gtc3ByaW50ZXJzLXNoYXJlLWdvbGQtaW4tbWVucy0xMTBtLWh1cmRsZXMtYWZ0ZXItdHlpbmctYXQtYXNpYW4tZ2FtZXMv0gEA?oc=5"" target=""_blank"">WATCH: Sprinters share gold in men's 110m hurdles after tying at Asian Games</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Canadian Running Magazine</font",2023-10-03 15:59:38+00:00,Canadian Running Magazine,"WATCH: Sprinters share gold in men’s 110m hurdles after tying at Asian Games Even a photo finish could not separate the two sprinters Marley Dickinson October 3, 2023 Share on Twitter Share on Facebook Share on Email Share on SMS It’s rare to see two athletes split a medal at a major championship, especially on the track. In an unusual turn of events in the men’s 110m hurdles final at the 2023 Asian Games in Hangzhou, China, Japanese hurdler Shunya Takayama and Kuwait’s Yaqoub Alyouha found themselves in a dead heat, both finishing in 13.41 (.409) seconds, sharing the gold medal. Congrats to Japan's Takayama Shunya and Kuwait's Alyouha Yaqoub on tying for first place in Men's 110m Hurdles event with a time of 13.41 seconds! #Hangzhou #AsianGames #Athletics #TeamJapan #TeamKuwait #Hurdles #HangzhouAsianGames #AsianGames2023 #GoldMedal @WorldAthletics … pic.twitter.com/l8NQMkDHjA — 19th Asian Games Hangzhou 2022 Official (@19thAGofficial) October 2, 2023 Even a photo finish couldn’t separate the two, leaving the officials with a rare conundrum. After several replays, they eventually confirmed that both Takayama and Alyouha had clocked identical times. A dead heat in track and field is when two or more athletes cross the finish line at the same time—and no individual winner can be named. WATCH: British sprinter wins national title in monsoon Takayama won bronze in the 110m hurdles at the 2018 Asian Games in Jakarta and now upgraded that medal to gold in 2023. “Getting a gold medal makes me very happy,” said Takayama to reporters post-race. “To get two gold medals with another athlete makes me twice as happy.” Alyouha, too, said it was a pleasure to share the victory, acknowledging the rarity of such an outcome in their line of work. “It’s a great pleasure for me to win the gold,” said Alyouha. “My nerves ran cold waiting for confirmation that I won.” In the history of the Olympics and World Championships, there has not been a shared track medal since the men’s decathlon in 1912. Alyouha and Takayama are the first sprinters to share a gold at the Asian Games. Categories: Runs & Races Tags: 110m hurdles , Asian Games , china , Running News , Shunya Takayama , tie , Yaqoub Alyouha","Japanese hurdler Shunya Takayama and Kuwait’s Yaqoub Alyouha found themselves in a dead heat, both finishing in 13.41 (.409) seconds, sharing the gold medal. Even a photo finish couldn’t separate the two, leaving the officials with a rare conundrum."
"Asian Games 2023: Athletics - Thailand, Malaysia win women's 4x100m medals as China sweep relay golds - Olympics",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1jaGluYS10aGFpbGFuZC1tYWxheXNpYS13aW4td29tZW4tNHgxMDBtLW1lZGFsc9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1jaGluYS10aGFpbGFuZC1tYWxheXNpYS13aW4td29tZW4tNHgxMDBtLW1lZGFsc9IBAA?oc=5"" target=""_blank"">Asian Games 2023: Athletics - Thailand, Malaysia win women's 4x100m medals as China sweep relay golds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Olympics</font",2023-10-03 14:19:00+00:00,Olympics,,No Content
Asian Games official suffers horrific leg break after being hit during hammer throw - Yahoo Sports,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hc2lhbi1nYW1lcy1vZmZpY2lhbC1zdWZmZXJzLWhvcnJpZmljLTIxNTExNTkwMC5odG1s0gFVaHR0cHM6Ly9zcG9ydHMueWFob28uY29tL2FtcGh0bWwvYXNpYW4tZ2FtZXMtb2ZmaWNpYWwtc3VmZmVycy1ob3JyaWZpYy0yMTUxMTU5MDAuaHRtbA?oc=5," href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hc2lhbi1nYW1lcy1vZmZpY2lhbC1zdWZmZXJzLWhvcnJpZmljLTIxNTExNTkwMC5odG1s0gFVaHR0cHM6Ly9zcG9ydHMueWFob28uY29tL2FtcGh0bWwvYXNpYW4tZ2FtZXMtb2ZmaWNpYWwtc3VmZmVycy1ob3JyaWZpYy0yMTUxMTU5MDAuaHRtbA?oc=5"" target=""_blank"">Asian Games official suffers horrific leg break after being hit during hammer throw</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Sports</font",2023-10-03 21:51:15+00:00,Yahoo Sports,"Read full article The Independent Asian Games official suffers horrific leg break after being hit during hammer throw Holly Patrick Wed, Oct 4, 2023, 3:21 AM An Asian Games athletics official suffered a broken leg and bleeding after he was hit by an errant hammer throw on Saturday, 30 September, at the competition in Hangzhou , China . Footage shows an errant throw by Kuwait 's Ali Zankawi going sideways before hitting 62-year-old Huang Qinhua as he sat next to the throwing area. In the clip, Zankawi can be seen quickly offering assistance. Asian Games organisers said on Sunday that Huang is in a stable condition after being taken to hospital.",An errant throw by Kuwait 's Ali Zankawi went sideways before hitting 62-year-old Huang Qinhua. Huang is in a stable condition after being taken to hospital.
"Asian Games 2023 archery: Results, scores for Indian archers - all medal winners - Olympics",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1oYW5nemhvdS1hcmNoZXJ5LWluZGlhLXJlc3VsdHMtbWVkYWwtd2lubmVyc9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1oYW5nemhvdS1hcmNoZXJ5LWluZGlhLXJlc3VsdHMtbWVkYWwtd2lubmVyc9IBAA?oc=5"" target=""_blank"">Asian Games 2023 archery: Results, scores for Indian archers - all medal winners</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Olympics</font",2023-10-03 07:25:00+00:00,Olympics,,No Content
"K-netizens react to North Korean media labeling South Korea as ""puppets"" during a women's soccer match at the Asian ... - allkpop",https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5hbGxrcG9wLmNvbS9hcnRpY2xlLzIwMjMvMTAvay1uZXRpemVucy1yZWFjdC10by1ub3J0aC1rb3JlYW4tbWVkaWEtbGFiZWxpbmctc291dGgta29yZWEtYXMtcHVwcGV0cy1kdXJpbmctYS13b21lbnMtc29jY2VyLW1hdGNoLWF0LXRoZS1hc2lhbi1nYW1lc9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5hbGxrcG9wLmNvbS9hcnRpY2xlLzIwMjMvMTAvay1uZXRpemVucy1yZWFjdC10by1ub3J0aC1rb3JlYW4tbWVkaWEtbGFiZWxpbmctc291dGgta29yZWEtYXMtcHVwcGV0cy1kdXJpbmctYS13b21lbnMtc29jY2VyLW1hdGNoLWF0LXRoZS1hc2lhbi1nYW1lc9IBAA?oc=5"" target=""_blank"">K-netizens react to North Korean media labeling South Korea as ""puppets"" during a women's soccer match at the Asian ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">allkpop</font",2023-10-03 19:21:00+00:00,allkpop,,No Content
"Neeraj Chopra at Asian Games: He's already won it all, does he have the hunger for more? - ESPN - ESPN",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5lc3BuLmNvbS9hdGhsZXRpY3Mvc3RvcnkvXy9pZC8zODU1NDEwOS9uZWVyYWotY2hvcHJhLWFzaWFuLWdhbWVzLWZhdm91cml0ZS1mcmllbmQtYXJzaGFkLW5hZGVlbS1kZW55LXJlcGVhdC1qYXZlbGluLWdvbGTSAZEBaHR0cHM6Ly93d3cuZXNwbi5jb20vYXRobGV0aWNzL3N0b3J5L18vaWQvMzg1NTQxMDkvbmVlcmFqLWNob3ByYS1hc2lhbi1nYW1lcy1mYXZvdXJpdGUtZnJpZW5kLWFyc2hhZC1uYWRlZW0tZGVueS1yZXBlYXQtamF2ZWxpbi1nb2xkP3BsYXRmb3JtPWFtcA?oc=5," href=""https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5lc3BuLmNvbS9hdGhsZXRpY3Mvc3RvcnkvXy9pZC8zODU1NDEwOS9uZWVyYWotY2hvcHJhLWFzaWFuLWdhbWVzLWZhdm91cml0ZS1mcmllbmQtYXJzaGFkLW5hZGVlbS1kZW55LXJlcGVhdC1qYXZlbGluLWdvbGTSAZEBaHR0cHM6Ly93d3cuZXNwbi5jb20vYXRobGV0aWNzL3N0b3J5L18vaWQvMzg1NTQxMDkvbmVlcmFqLWNob3ByYS1hc2lhbi1nYW1lcy1mYXZvdXJpdGUtZnJpZW5kLWFyc2hhZC1uYWRlZW0tZGVueS1yZXBlYXQtamF2ZWxpbi1nb2xkP3BsYXRmb3JtPWFtcA?oc=5"" target=""_blank"">Neeraj Chopra at Asian Games: He's already won it all, does he have the hunger for more? - ESPN</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESPN</font",2023-10-03 09:40:00+00:00,ESPN,,No Content
